id,lang_abv,language,label,premise,hypothesis
5130fd2cb5,en,English,0,and these comments were considered in formulating the interim rules.,The rules developed in the interim were put together with these comments in mind.
5b72532a0b,en,English,2,"These are issues that we wrestle with in practice groups of law firms, she said. ",Practice groups are not permitted to work on these issues.
3931fbe82a,en,English,0,Little things like this make a huge difference in what I'm trying to do.,I was trying to accomplish something.
5622f0c60b,en,English,0,you know they can't really defend themselves like somebody grown uh say my age you know yeah,They can't defend themselves because of their age.
86aaa48b45,en,English,1,"In the same way, there are opportunities to express and play multiple roles at the same time may help children to sense the similarities and differences between people in desire, belief, and feeling.",Children can see how different ethnic groups are.
ed7d6a1e62,tr,Turkish,0,"Bir çiftlikte birisinin, ağıla kapatılmış bu öküzleri kesmeliyiz dediğini duyabilirsiniz bu muhtemelen şu anlama gelir, yüklenecek olanları ayırın.",Çiftlikte insanlar farklı terimler kullanırlar.
5a0f4908a0,ur,Urdu,0,ریاست ہائے متحدہ امریکہ واپس آنے پر، ہج ایف بی آئی کے ایجنٹوں کے ذریعے ہوائی اڈے پر ملاقات کی، تحقیقات کی، اور اگلے دن وفاقی گرین جوری سے پہلے اسامہ بن لادن کی تحقیقات سے ملاقات کی.,ہیگ کی تفتیش ایف بی آئی اہلکاروں  کی طرف سے کی گئی
fdcd1bd867,en,English,2,From Cockpit Country to St. Ann's Bay,From St. Ann's Bay to Cockpit Country.
7cfb3d272c,en,English,1,"Look, it's your skin, but you're going to be in trouble if you don't get busy.",The boss will fire you if he sees you slacking off.
8c10229663,ru,Russian,0,"Через каждые сто градусов пятна краски меняют свой цвет, она может быть красной и изменить цвет на синий.",Краска изменяется в соответствии с цветом.
a1971593d5,bg,Bulgarian,0,"Може да не сме имали всичко, което сме искали или сме видели, че други хора имат, но тя осигуряваше необходимите неща, от които се нуждаехме.","Имахме всичко, от което наистина се нуждаехме."
2bf4b86d4f,de,German,1,Es fallen zwanzig Prozent Zinsen an,Könnte das Interesse mehr als 20 sein?
91b03f6bf4,en,English,0,"If possible, get to know the conspiracy in advance.","Try to understand the plot at first, if you can."
4c25aa4c06,en,English,2,"I hope that your lord will finally begin to realize that the foolish behaviour of the King's Committee, which has been given to such a person, is against all my proposals.",The adults have just accepted my advice and acted accordingly.
82f24422eb,hi,Hindi,2,म्जोडी का दावा है कि वह शादी करने के लिए मोरक्को के घर चला गया लेकिन वहाँ एक कार दुर्घटना में घायल होनेके कारण कर नहीं पाया ।,मज़ौदी ने दावा किया कि वह योजना के अनुसार योजना के साथ चला गया।
6d63ae6397,sw,Swahili,0,Watoto wangegonga milango ya majirani zao na,Watoto wangeweza kwenda kwa majirani zao nyumba.
dd4f0d9f25,en,English,1,"""If you people only knew how fatally easy it is to poison some one by mistake, you wouldn't joke about it. ",Many people have poisoned someone by mistake.
0a3f52c547,en,English,0,"My own little corner of the world, policy wonking, is an example.",An example is policy wonking.
4b0eca3ccb,en,English,1,life in prison then he's available for parole if it's if it's life and a day then he's not eligible for parole so what you know let's quit BSing with the system,The system is corrupt because he won't be able to get parole if it's life and a day.
cad235551c,en,English,2,"The streets are crammed with vendors selling shrine offerings of sweets, curds, and coconut, as well as garlands and holy images.",Vendors have lined the streets with torches and fires.
d8b3a4fb06,en,English,2,"North of Mytilini, stop at the village of Moria, where you will find the remains of a huge Roman aqueduct surrounded by grazing goats.",There is nothing special to see in the village of Moria.
ad5a79456e,en,English,0,"Increased saving by current generations would expand the nation's capital stock, allowing future generations to better afford the nation's retirement costs while also enjoying higher standards of living.","Current generations' increased saving would expand the nation's capital stock, allowing future generations to more easily afford the nation's retirement costs while also enjoying higher standards of living."
a7b0b9498c,en,English,1,"It's just the beginning!""",A great journey is about to begin!
1ec4761d9d,ru,Russian,2,"Уверяю вас, сэр, что я был полностью осведомлен обо всем.",От меня скрыли множество деталей.
17c1f14619,en,English,1,"Britain's best-selling tabloid, the Sun , announced as a front-page world exclusive Friday that Texan model Jerry Hall has started divorce proceedings against aging rock star Mick Jagger at the High Court in London.",The Sun makes millions every year off fake news.
f5f4dc48c1,en,English,2,Savonarola burned in Florence,Florence became Savonarola's new home.
6a98a077a5,en,English,0,"It will be COLOSSAL!""",It will be gigantic.
00c0cdf348,vi,Vietnamese,0,Lạnh hơn và xa hơn bao giờ hết đã phát triển tiếng nói của lãnh chúa.,Giọng của Chúa cảm thấy thật xa xôi và lạnh lẽo
8b8a91643a,es,Spanish,0,27 La dificultad aumenta a medida que la necesidad de modificaciones de la caldera que se han de tomar para adaptar el SCR a la instalación también aumenta.,27 La dificultad depende de las modificaciones.
655cc51991,en,English,2,He says men are here.,He said that the men were not here. 
a2a8b36437,el,Greek,2,"Κατά συνέπεια, οι κυβερνητικοί υπεύθυνοι λήψης αποφάσεων και προϊστάμενοι υιοθετούν νέους τρόπους σκέψης, εξετάζοντας διαφορετικούς τρόπους επίτευξης των στόχων και χρησιμοποιώντας νέες πληροφορίες για την καθοδήγηση των αποφάσεων.",Οι κυβερνητικοί εκπρόσωποι αρνούνται να αλλάξουν τον τρόπο ζωής τους.
ca2570d90c,sw,Swahili,0,Mashua kama hayo yalitengenezwa kuruhusu fursa ya kufiki kwa meli zinazowasili.,Boti zilianzishwa ili iwe rahisi kupata  meli zinazokuja.
89fdd6de05,en,English,0,yeah uh-huh oh yeah petting zoos and things,"Yes, petting and other things."
fc9b9e81ec,sw,Swahili,0,"Sijawahi kuelewa kwanini uandishi wa kimataifa wa simu ya kitaifa haitumiwi katika kamusi ya kiingereza ya kila aina, lakini hii ni zaidi ya upeo wa maneno yetu katika ukaguzi huu.",Mapitio haya ni madogo kwa upeo kwa hiyo hayajadili kwa nini Uandishi wa Waandishi wa Kimataifa wa Simutiki hautumiwi katika kamusi za Kiingereza.
aa6feee06e,en,English,2,"Disputes, managing these food coupons that are now pointed at, can also, of course, turn to basic welfare -- the Tanf.",The Government also made no mention of any food vouchers or benefits.
14fa262750,en,English,0,"The almost midtown Massabielle quarter (faubourg de Massabielle), is sometimes described as the most picturesque in the city.",The Massabielle quarter is considered the most photogenic.
